,target_gene,category,class,gene_descriptor,genomic_location_GRCh38,refseq_examples,similar_genes_functional,key_pathways,drug_associated_interactions,reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding,target_name_GenePTembedding,target_description_GenePTembedding,reference_gene_description,target_gene_description
71,,,,,,,,,,COX20,"[-0.02945777 -0.02236016  0.01687685 ... -0.0128811  -0.00763127
 -0.01394175]","[-0.03740641 -0.0003431  -0.00055501 ... -0.01507365 -0.01083055
 -0.01385949]",,,"Gene Symbol COX20 This gene encodes a protein that plays a role in the assembly of cytochrome C oxidase, an important component of the respiratory pathway. It contains two transmembrane helices and localizes to the mitochondrial membrane. Mutations in this gene can cause mitochondrial complex IV deficiency, which results in ataxia and muscle hypotonia. There are multiple pseudogenes for this gene. Alternative splicing results in multiple transcript variants.",No Description
72,,,,,,,,,,SPRY4-AS1,"[-0.01955812 -0.00437053  0.00053906 ... -0.02646902 -0.0001799
  0.00664116]","[-0.03442761 -0.0105463  -0.00147962 ... -0.0288903  -0.01970158
  0.0044138 ]",,,Gene Symbol SPRY4-AS1,No Description
73,,,,,,,,,,EIF2D,"[-0.03910192 -0.00545117 -0.02593178 ... -0.01877625  0.0043877
 -0.01059949]","[-0.03987424 -0.03154115 -0.02519398 ... -0.02084571  0.00236072
 -0.01997606]",,,"Gene Symbol EIF2D This gene encodes a translation initiation factor involved in the recruitment and delivery of aminoacyl-tRNAs to the P-site of the eukaryotic ribosome in a GTP-independent manner. This gene was previously referred to as ligatin, but is now known to localize to the cytoplasm and localize and function with translation factors. Multiple transcript variants encoding different isoforms have been found for this gene.",No Description
74,,,,,,,,,,KRT39,"[-0.00806739 -0.00102128  0.01849262 ... -0.00295245 -0.00531543
 -0.01222103]","[-0.00928837  0.00474775 -0.01400699 ... -0.00976735 -0.01923695
 -0.00634327]",,,"Gene Symbol KRT39 This gene encodes a member of the type I (acidic) keratin family, which belongs to the superfamily of intermediate filament (IF) proteins. Keratins are heteropolymeric structural proteins which form the intermediate filament. These filaments, along with actin microfilaments and microtubules, compose the cytoskeleton of epithelial cells. The type I keratin genes are clustered in a region of chromosome 17q12-q21.",No Description
75,,,,,,,,,,SENP1,"[-0.01340822 -0.01039102  0.01237194 ... -0.01746875  0.00175622
 -0.02828274]","[-0.02499758  0.00158481  0.01458858 ... -0.01252541 -0.00309308
 -0.00350073]",,,Gene Symbol SENP1 This gene encodes a cysteine protease that specifically targets members of the small ubiquitin-like modifier (SUMO) protein family. This protease regulates SUMO pathways by deconjugating sumoylated proteins. This protease also functions to process the precursor SUMO proteins into their mature form. Alternate splicing results in multiple transcript variants.,No Description
76,,,,,,,,,,RNU6-486P,"[-0.01213843 -0.02433081 -0.00534765 ... -0.02346763  0.01292743
 -0.0040158 ]","[-0.01881982 -0.02559603  0.00879022 ... -0.01727059  0.00250235
 -0.00409536]",,,Gene Symbol RNU6-486P,No Description
77,,,,,,,,,,PPIAP62,"[-0.01722639  0.00683138  0.01291322 ... -0.00390553 -0.00637114
  0.00264971]","[-0.01812737 -0.00054262  0.01316344 ... -0.01504585 -0.0153808
 -0.00207835]",,,Gene Symbol PPIAP62,No Description
78,,,,,,,,,,ATP5MGL,"[-0.0266874  -0.01756072  0.00318993 ... -0.02134992  0.00068628
 -0.00418306]","[-0.01958906 -0.04343941 -0.00197246 ... -0.01593467  0.00590448
 -0.01791036]",,,Gene Symbol ATP5MGL Predicted to enable proton transmembrane transporter activity. Predicted to be involved in ATP synthesis coupled proton transport. Located in mitochondrion.,No Description
79,,,,,,,,,,SMAD5-AS1,"[-0.01135906  0.00112256 -0.00636878 ... -0.01444716  0.00281612
  0.00663231]","[-0.02987581 -0.01630044 -0.00905649 ... -0.01442539  0.00843773
  0.00425011]",,,Gene Symbol SMAD5-AS1 Predicted to be involved in signal transduction.,No Description
80,,,,,,,,,,P4HA3-AS1,"[ 0.00751961  0.00519179  0.00163643 ... -0.01578576  0.00628784
  0.00196643]","[-0.02054171 -0.00547581  0.01133495 ... -0.02187679 -0.00276765
 -0.00203897]",,,Gene Symbol P4HA3-AS1,No Description
81,,,,,,,,,,CABP7,"[-0.0116311  -0.00724226  0.00775859 ... -0.01402254 -0.00304365
 -0.02095228]","[-0.01086117 -0.02896313  0.00061279 ... -0.00649351 -0.00458025
 -0.01374718]",,,Gene Symbol CABP7 Predicted to enable calcium ion binding activity. Located in trans-Golgi network membrane.,No Description
82,,,,,,,,,,BCORL1,"[-0.02469443 -0.00297506 -0.01072699 ... -0.00773098 -0.00575808
 -0.0073329 ]","[-0.05027908 -0.01626753  0.00890468 ...  0.00520692 -0.01915518
  0.0115506 ]",,,Gene Symbol BCORL1 The protein encoded by this gene is a transcriptional corepressor that is found tethered to promoter regions by DNA-binding proteins. The encoded protein can interact with several different class II histone deacetylases to repress transcription. Two transcript variants encoding different isoforms have been found for this gene.,No Description
83,,,,,,,,,,A3GALT2,"[-0.02413256 -0.0001192   0.01578507 ... -0.0287217  -0.00168549
  0.0004632 ]","[-0.03016947 -0.01836921  0.01322398 ... -0.02201127  0.00531409
 -0.02124312]",,,"Gene Symbol A3GALT2 Predicted to enable N-acetyllactosaminide 3-alpha-galactosyltransferase activity and alpha-1,3-galactosyltransferase activity. Predicted to be involved in lipid glycosylation. Predicted to act upstream of or within glycosphingolipid biosynthetic process. Predicted to be located in Golgi cisterna membrane. Predicted to be integral component of membrane. Predicted to be active in Golgi apparatus and vesicle.",No Description
84,,,,,,,,,,KARS1,"[ 0.00594372 -0.00055702 -0.00371566 ... -0.00215802 -0.01367522
 -0.00268668]","[-0.01675424 -0.01750183 -0.00754274 ... -0.00677512  0.00785647
  0.00162786]",,,"Gene Symbol KARS1 Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. Lysyl-tRNA synthetase is a homodimer localized to the cytoplasm which belongs to the class II family of tRNA synthetases. It has been shown to be a target of autoantibodies in the human autoimmune diseases, polymyositis or dermatomyositis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.",No Description
85,,,,,,,,,,NFYA,"[-0.0037949  -0.01856961 -0.01482275 ... -0.00408655  0.0131895
 -0.04068022]","[-0.03695282 -0.02510454 -0.00538951 ... -0.02113298  0.00406454
 -0.02279333]",,,"Gene Symbol NFYA The protein encoded by this gene is one subunit of a trimeric complex, forming a highly conserved transcription factor that binds to CCAAT motifs in the promoter regions in a variety of genes. Subunit A associates with a tight dimer composed of the B and C subunits, resulting in a trimer that binds to DNA with high specificity and affinity. The sequence specific interactions of the complex are made by the A subunit, suggesting a role as the regulatory subunit. In addition, there is evidence of post-transcriptional regulation in this gene product, either by protein degradation or control of translation. Further regulation is represented by alternative splicing in the glutamine-rich activation domain, with clear tissue-specific preferences for the two isoforms.",No Description
86,,,,,,,,,,LINC02238,"[-0.02987475  0.0024644   0.0245456  ... -0.01991213 -0.00416422
 -0.00740306]","[-0.03716533 -0.01082244  0.01871353 ... -0.02320216 -0.01528489
 -0.00647776]",,,Gene Symbol LINC02238,No Description
87,,,,,,,,,,RHOG,"[-0.0172173  -0.02109323 -0.00450152 ... -0.01576213  0.00660949
  0.00049002]","[-0.04609378 -0.00836326 -0.01074993 ... -0.01287214  0.01093504
  0.00854176]",,,"Gene Symbol RHOG This gene encodes a member of the Rho family of small GTPases, which cycle between inactive GDP-bound and active GTP-bound states and function as molecular switches in signal transduction cascades. Rho proteins promote reorganization of the actin cytoskeleton and regulate cell shape, attachment, and motility. The encoded protein facilitates translocation of a functional guanine nucleotide exchange factor (GEF) complex from the cytoplasm to the plasma membrane where ras-related C3 botulinum toxin substrate 1 is activated to promote lamellipodium formation and cell migration. Two related pseudogene have been identified on chromosomes 20 and X.",No Description
88,,,,,,,,,,BFSP2-AS1,"[-0.01638063  0.01031785 -0.00682411 ... -0.02507155 -0.01098531
 -0.00160695]","[-0.03763779 -0.00108896  0.00504005 ... -0.02624348 -0.0169763
 -0.00854912]",,,Gene Symbol BFSP2-AS1,No Description
89,,,,,,,,,,RNU6-103P,"[ 0.00057452 -0.02007516 -0.00652643 ... -0.01151526  0.00903915
 -0.00605051]","[-0.0139066  -0.02974058  0.00500249 ... -0.01301652 -0.00412915
 -0.00918853]",,,Gene Symbol RNU6-103P,No Description
90,,,,,,,,,,TEX264,"[-0.02501594 -0.00826344  0.00187725 ... -0.00374393  0.00472398
 -0.01632946]","[-0.04169453 -0.01522791 -0.02206656 ... -0.01418091  0.01386283
 -0.0185147 ]",,,"Gene Symbol TEX264 Enables signaling receptor activity. Involved in protein-DNA covalent cross-linking repair. Acts upstream of or within reticulophagy. Located in several cellular components, including autophagosome membrane; endoplasmic reticulum membrane; and replication fork.",No Description
91,,,,,,,,,,UBTFL1,"[-0.03208684 -0.02837938 -0.00539448 ... -0.01534994 -0.00047177
 -0.01719033]","[-0.05999235 -0.04385467 -0.0170153  ... -0.01709389 -0.00100533
 -0.0180894 ]",,,Gene Symbol UBTFL1 Predicted to enable DNA binding activity. Predicted to act upstream of or within blastocyst growth; embryo implantation; and regulation of gene expression. Predicted to be located in cytoplasm and nucleus.,No Description
92,,,,,,,,,,SLC30A6,"[-0.01298465  0.01567733  0.00261787 ... -0.02084991  0.00571777
 -0.00847028]","[-0.02129596 -0.00161297  0.02650843 ... -0.01669522 -0.01575213
 -0.01205624]",,,Gene Symbol SLC30A6 This gene encodes a member of a family of proteins that function as zinc transporters. This protein can regulate subcellular levels of zinc in the Golgi and vesicles. Expression of this gene is altered in the Alzheimer's disease brain plaques.,No Description
93,,,,,,,,,,MIR135A2,"[-0.02183755  0.00023515 -0.01479746 ... -0.01166263 -0.00156742
 -0.01490373]","[-0.05736494 -0.02434887  0.00269224 ... -0.0168529  -0.01320253
 -0.02004129]",,,"Gene Symbol MIR135A2 microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primary transcripts (pri-miRNAs) that can be either protein-coding or non-coding. The primary transcript is cleaved by the Drosha ribonuclease III enzyme to produce an approximately 70-nt stem-loop precursor miRNA (pre-miRNA), which is further cleaved by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star (miRNA*) products. The mature miRNA is incorporated into a RNA-induced silencing complex (RISC), which recognizes target mRNAs through imperfect base pairing with the miRNA and most commonly results in translational inhibition or destabilization of the target mRNA. The RefSeq represents the predicted microRNA stem-loop.",No Description
94,,,,,,,,,,OR10C1,"[-0.00042145 -0.02738565 -0.01171902 ... -0.01068742  0.01189095
 -0.02863733]","[-0.01858144  0.0057166  -0.01687538 ... -0.01051405 -0.00152255
 -0.01052728]",,,"Gene Symbol OR10C1 Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. This olfactory receptor gene is a segregating pseudogene, where some individuals have an allele that encodes a functional olfactory receptor, while other individuals have an allele encoding a protein that is predicted to be non-functional.",No Description
95,,,,,,,,,,ATP5F1AP7,"[-0.02376755 -0.00710696  0.00416515 ... -0.01430454  0.00082688
 -0.01526249]","[-0.03240869 -0.01065626  0.0076163  ... -0.01595484 -0.00442862
 -0.01278357]",,,Gene Symbol ATP5F1AP7,No Description
96,,,,,,,,,,HARS1,"[-0.01046759 -0.00458042 -0.00018323 ... -0.01841647  0.00974989
  0.01251236]","[-0.02488961 -0.02487623 -0.0156747  ... -0.01413665  0.01377555
  0.00607194]",,,"Gene Symbol HARS1 Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. The protein encoded by this gene is a cytoplasmic enzyme which belongs to the class II family of aminoacyl-tRNA synthetases. The enzyme is responsible for the synthesis of histidyl-transfer RNA, which is essential for the incorporation of histidine into proteins. The gene is located in a head-to-head orientation with HARSL on chromosome five, where the homologous genes share a bidirectional promoter. The gene product is a frequent target of autoantibodies in the human autoimmune disease polymyositis/dermatomyositis. Several transcript variants encoding different isoforms have been found for this gene.",No Description
97,,,,,,,,,,MTND5P25,"[-0.03899516 -0.01544012  0.01202941 ... -0.00899993 -0.00165855
 -0.01817686]","[-0.05170688 -0.02317849  0.01427089 ... -0.01184336 -0.00792455
 -0.02135952]",,,Gene Symbol MTND5P25,No Description
98,,,,,,,,,,DUSP18,"[-0.03201268  0.00278277  0.00822326 ... -0.02618371  0.00113378
  0.00583898]","[-0.04042359  0.0038954   0.01803762 ... -0.03419631 -0.00148384
  0.00443559]",,,Gene Symbol DUSP18,No Description
99,,,,,,,,,,CHCHD2P4,"[-0.00847739  0.01626088 -0.0113512  ... -0.00222572 -0.02101346
 -0.02445678]","[-0.01845585  0.00773079  0.00190123 ... -0.01404393 -0.02007223
 -0.0290153 ]",,,Gene Symbol CHCHD2P4,No Description
100,,,,,,,,,,VNN2,"[-0.03846095 -0.01575028  0.02310958 ... -0.01764857 -0.01752477
  0.00707043]","[-0.05750314 -0.01554904  0.01784162 ... -0.03339066 -0.00703281
  0.01432184]",,,"Gene Symbol VNN2 This gene product is a member of the Vanin family of proteins that share extensive sequence similarity with each other, and also with biotinidase. The family includes secreted and membrane-associated proteins, a few of which have been reported to participate in hematopoietic cell trafficking. No biotinidase activity has been demonstrated for any of the vanin proteins, however, they possess pantetheinase activity, which may play a role in oxidative-stress response. The encoded protein is a GPI-anchored cell surface molecule that plays a role in transendothelial migration of neutrophils. This gene lies in close proximity to, and in same transcriptional orientation as two other vanin genes on chromosome 6q23-q24. Alternatively spliced transcript variants encoding different isoforms have been described for this gene.",No Description
101,,,,,,,,,,SOCS7,"[-0.015834   -0.00778654 -0.00149431 ... -0.01414486  0.00849378
 -0.01521602]","[-0.03441959 -0.02233939 -0.00702113 ... -0.00810476  0.01817159
 -0.01206096]",,,"Gene Symbol SOCS7 Predicted to enable 1-phosphatidylinositol-3-kinase regulator activity. Predicted to be involved in phosphatidylinositol phosphate biosynthetic process. Predicted to act upstream of or within several processes, including brain development; fat cell differentiation; and insulin receptor signaling pathway. Located in cytosol.",No Description
102,,,,,,,,,,EIF4EBP1,"[-0.03750792 -0.01948531 -0.01795731 ... -0.02170549  0.00345107
 -0.01766999]","[-0.04401124 -0.03353978 -0.03499127 ... -0.00627251  0.00070712
 -0.02076149]",,,"Gene Symbol EIF4EBP1 This gene encodes one member of a family of translation repressor proteins. The protein directly interacts with eukaryotic translation initiation factor 4E (eIF4E), which is a limiting component of the multisubunit complex that recruits 40S ribosomal subunits to the 5' end of mRNAs. Interaction of this protein with eIF4E inhibits complex assembly and represses translation. This protein is phosphorylated in response to various signals including UV irradiation and insulin signaling, resulting in its dissociation from eIF4E and activation of mRNA translation.",No Description
